brand,goods_id,link,product_price,star_count,title
NC1DM73A 고 프리 하이브리드 다운 코트 EX,2105483,https://store.musinsa.com/app/goods/2105483?loc=goods_rank,,315,[이동휘 착용][리뉴얼 ver.][3M 신슐레이트]오리지널 M-1965 피쉬테일 파카_Original Khaki
라퍼지스토어,2064478,https://store.musinsa.com/app/goods/2064478?loc=goods_rank,"799,900원","16,365",[무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Black
Cashmere Baby Cardigan (Red),1651083,https://store.musinsa.com/app/goods/1651083?loc=goods_rank,"469,000원",5,풀오버 오버핏 양털 후드티_Cream
이노블럭 RDS 다운 숏패딩 (KHAKI),2139945,https://store.musinsa.com/app/goods/2139945?loc=goods_rank,,1,프리미엄 실버폭스 구스다운 숏패딩 (KHAKI)
싱글 라이더스 자켓 램 레더 (블랙),602134,https://store.musinsa.com/app/goods/602134?loc=goods_rank,"79,800원",687,P.E.DEPT® EMBROIDERY YOGA BEGINNER CLASS HOODIE ZIP UP GRAY
GREY SEMI-OVERFIT 3BOTTON COAT TNCO1F705G2,2047792,https://store.musinsa.com/app/goods/2047792?loc=goods_rank,,13,Logo Puffer Short Padding_Gray
WOOL FRENCH WORK JACKET (BLUE),2155744,https://store.musinsa.com/app/goods/2155744?loc=goods_rank,,2,LEATHER MIX MUSTANG JACKET (NAVY)
캠퍼트 다운 자켓_MS,2131386,https://store.musinsa.com/app/goods/2131386?loc=goods_rank,,8,빅오버 플리스 집업 자켓_Cream
키르시 X 아식스 플리스 리버서블 자켓 [아이보리],2208501,https://store.musinsa.com/app/goods/2208501?loc=goods_rank,"327,000원",1,미니멀 울 트러커자켓(브라운)
유니섹스 헤비 리버시블 리얼 라쿤털 후드 롱패딩 카키 IRO074,1740529,https://store.musinsa.com/app/goods/1740529?loc=goods_rank,"269,100원",1,WOOL EMBROIDERY HANDSOME DAN KNIT CARDIGAN GRAY
코딩 프린트 블랙 패딩 후드 자켓,1641591,https://store.musinsa.com/app/goods/1641591?loc=goods_rank,"35,100원",2,빅오버 플리스 집업 자켓_Midnight Blue
오버사이즈 트위드 자켓 CREAM,2167432,https://store.musinsa.com/app/goods/2167432?loc=goods_rank,"99,900원",2,모디파이 2way 오버핏 MA-1 자켓_Khaki
파스텔 숏 패딩 점퍼 스카이 블루,1682389,https://store.musinsa.com/app/goods/1682389?loc=goods_rank,,3,WOOL BLAZER NAVY
보아  퀼팅 후드집업 라이트블루,2152814,https://store.musinsa.com/app/goods/2152814?loc=goods_rank,,24,XJ22 키지멘 쉐르파 자켓 (BROWN)
레스터G 여성 RDS 구스다운 숏패딩 (L/BLUE),2034566,https://store.musinsa.com/app/goods/2034566?loc=goods_rank,"119,000원",1,디테쳐블 롱 솔리드 패딩블랙
오버사이즈 MA-1 보머 재킷 [다크 그레이],1601469,https://store.musinsa.com/app/goods/1601469?loc=goods_rank,"129,000원",268,오버핏 MA-1 자켓_Black
디태처블 칼라 테디 재킷 [아이보리],2209822,https://store.musinsa.com/app/goods/2209822?loc=goods_rank,,4,노타임 보아 플리스 뽀글이 집업 자켓_블랙
반슬리 RDS 다운 남성 숏패딩 (IVORY),2147150,https://store.musinsa.com/app/goods/2147150?loc=goods_rank,"76,400원",3,오리지널 프랑스 F2 자켓_Black
B&)울100핸드메이드벨티드롱코트 HUCA720E,1642844,https://store.musinsa.com/app/goods/1642844?loc=goods_rank,"103,600원",2,렌티큘러 패치 리버시블 블루종 그린체크
여성 쭈리 점퍼(그린)_GLS1WU02GN,1861227,https://store.musinsa.com/app/goods/1861227?loc=goods_rank,"79,800원",4,유니섹스 베이직 유틸리티 오버핏 덕다운 숏패딩 블랙 IRO070
비건 무스탕 (카멜)_FREE,1711297,https://store.musinsa.com/app/goods/1711297?loc=goods_rank,"70,900원",1,그레이 세미 오버핏 3버튼 미니멀 울 자켓
21FW AZN023 BLACK 블랙와펜 울 가디건,2208408,https://store.musinsa.com/app/goods/2208408?loc=goods_rank,"129,000원",14,빌리브 인 유어셀프 보아 플리스 뽀글이 집업 자켓_블랙
오버핏 비건레더 보머 자켓,2086731,https://store.musinsa.com/app/goods/2086731?loc=goods_rank,,160,V050 울 트러커 자켓 (그린)
MNSS 우먼 더블 라이더 마운트 자켓 (블랙),671800,https://store.musinsa.com/app/goods/671800?loc=goods_rank,,1,블랙 오버핏 데님  트러커 자켓
[unisex] pocket jumper (orange),1227739,https://store.musinsa.com/app/goods/1227739?loc=goods_rank,"139,000원",1,PHYPS® FLEECE YOGA BEAR RUBBER LABEL TRACK JACKET GREEN
[ASIA] Ripple 코듀로이 캐주얼 자켓 (BLACK) CKJA1F623BK,2190064,https://store.musinsa.com/app/goods/2190064?loc=goods_rank,,1,클래식 언컨 오버 블레이져_Light Navy
S.H.V STAFF VARSITY JACKET GREEN/YELLOW,2180195,https://store.musinsa.com/app/goods/2180195?loc=goods_rank,"68,690원",3,
모션 구스 다운 패딩 (T12B9QOT500MT2BDS),2261083,https://store.musinsa.com/app/goods/2261083?loc=goods_rank,"125,100원",87,HOODED JACKET (BLACK)
테리 원버튼 가디건(블랙),1682929,https://store.musinsa.com/app/goods/1682929?loc=goods_rank,,1,USFL 고딕 로고 후드 집업 (그레이)
브릭 호피 밍크 아웃포켓 시어링 아우터 (161Y3VGYAC),2235893,https://store.musinsa.com/app/goods/2235893?loc=goods_rank,"620,000원",1,서클 로고 패딩 플리스 재킷 (블랙)
플리스 후디 아노락자켓 (D/BLUE),1563058,https://store.musinsa.com/app/goods/1563058?loc=goods_rank,"179,400원",3,MM high frequency padding BE
매거진 퀼팅 자켓,2233684,https://store.musinsa.com/app/goods/2233684?loc=goods_rank,"189,050원",13,
COZY SINGLE WOOL COAT_BLACK,1710531,https://store.musinsa.com/app/goods/1710531?loc=goods_rank,,728,SILKY BOA EMBROIDERY HANDSOME DAN HOODIE ZIP PARKA NAVY
아가일 니트 베스트 (네이비),2082790,https://store.musinsa.com/app/goods/2082790?loc=goods_rank,"86,000원",18,Sakura Storm Jkt - Black
REVERSIBLE OVERFIT MUSTANG -BLACK,2238934,https://store.musinsa.com/app/goods/2238934?loc=goods_rank,,1,코듀로이 스판 대디자켓 네이비
GREY tweed wool blazer(MJ003),1561735,https://store.musinsa.com/app/goods/1561735?loc=goods_rank,,3,그린 오버핏 포켓 라운드 니트 베스트
AE_Double Wool Coat_CH,1709470,https://store.musinsa.com/app/goods/1709470?loc=goods_rank,"2,166,200원",4,MIXED BOA TRACK JACKET BEIGE
REAL DISTRESSED MERINO MUSTANG JUMPER DARK BROWN,2225350,https://store.musinsa.com/app/goods/2225350?loc=goods_rank,"189,000원",7,EMBROIDERY TENNIS HANDSOME DAN HOODIE ZIP UP NAVY
UTILITY 2-WAY 필드 자켓 Black,1310668,https://store.musinsa.com/app/goods/1310668?loc=goods_rank,"113,400원",38,유니섹스 리버시블 후드 아노락 패딩 아이보리 IRO031
YUSUPOV DOWN JACKET BLACK,2185912,https://store.musinsa.com/app/goods/2185912?loc=goods_rank,,11,코듀로이 리버시블 숏패딩 블루
STVJ311BKM Military Quilting Vest,2160355,https://store.musinsa.com/app/goods/2160355?loc=goods_rank,"149,000원",1,유니섹스 베이직 유틸리티 오버핏 덕다운 숏패딩 카키 IRO070
M1660 슬림핏 미니멀 블랙 셋업,864541,https://store.musinsa.com/app/goods/864541?loc=goods_rank,"210,000원",142,YALE ARCH HOODIE ZIP NAVY
,2145504,https://store.musinsa.com/app/goods/2145504?loc=goods_rank,,1,V660 덕다운 헤비 오버사이즈 체크 숏패딩-(체크 그레이)
Hotfix Velour Tracksuit Beige,2255888,https://store.musinsa.com/app/goods/2255888?loc=goods_rank,"115,500원",7,클래식 언컨 오버 블레이져_Light Khaki
벨티드방수덕다운롱패딩 KDN6O08_BK,1198778,https://store.musinsa.com/app/goods/1198778?loc=goods_rank,"238,000원",1,소프트 쉘 윈드브레이크 자켓 (네이비)
WOOL VARSITY JACKET OLIVE,2151558,https://store.musinsa.com/app/goods/2151558?loc=goods_rank,"189,000원",6,Scotch Puffer Short Parka_Orange
Toggle Eco Shearing Mustang_Black,2255864,https://store.musinsa.com/app/goods/2255864?loc=goods_rank,,2,[CB] 컬러라인 덕다운 숏패딩_BK
short blouson jacket black,1774933,https://store.musinsa.com/app/goods/1774933?loc=goods_rank,,16,ROYAL HANDMADE COAT BEIGE
다이아몬드패턴 페이크 밍크 퍼 자켓 MJ02JK100HJJ,2252351,https://store.musinsa.com/app/goods/2252351?loc=goods_rank,,18,WARM UP QUILTING VEST NAVY
수퍼 퍼피 자켓 - 화이트 / H20751,2210562,https://store.musinsa.com/app/goods/2210562?loc=goods_rank,"89,000원",3,BOA WARM UP HOODIE ZIP PARKA IVORY
REVE HOOD Ⅱ (리브 후드 2) 남녀공용 플리스 리버서블 다운 자켓_G/Khaki,2243299,https://store.musinsa.com/app/goods/2243299?loc=goods_rank,"160,600원",5,유니섹스 미니멀 덕다운 롱패딩 그레이 IRO049
Winter ver. 울 카라 자수 누빔 자켓 ( 그레이 ) 96120WR2014DE000,1667267,https://store.musinsa.com/app/goods/1667267?loc=goods_rank,"139,900원",8,컨트레스트 리버시블 패딩 PD4
21fw Crystal Jumper[Sky],2226697,https://store.musinsa.com/app/goods/2226697?loc=goods_rank,"199,000원",4,다크블루 오버핏 데님 초어 자켓
노맨틱 베이직 로고 울 가디건 아이보리,2061090,https://store.musinsa.com/app/goods/2061090?loc=goods_rank,"339,000원",10,WOOL 2 TONE ARCH JACQUARD KNIT VEST NAVY
베이직 V넥 퀼팅 경량 숏패딩 NY (Beige),2113374,https://store.musinsa.com/app/goods/2113374?loc=goods_rank,,3,19 후드 울 하프 코트 [베이지]
,1657360,https://store.musinsa.com/app/goods/1657360?loc=goods_rank,"299,000원",48,
클래식 체크 자켓_오트밀,1767922,https://store.musinsa.com/app/goods/1767922?loc=goods_rank,,9,컬시브 로고 벨루어 후드 집업 (브라운)
일꼬르소,2121411,https://store.musinsa.com/app/goods/2121411?loc=goods_rank,,6,페일베이지 세미 오버핏 패딩 플라이트 점퍼 IEJU1F205I4
BLACK OVER FIT FLIGHT GOOSE DOWN JUMPER TNJU1F712BK,2185154,https://store.musinsa.com/app/goods/2185154?loc=goods_rank,,11,모블러x권트윈스 오버핏 가디건 [브릭레드]
MARITHE VINTAGE FLEECE JACKET navy,2195908,https://store.musinsa.com/app/goods/2195908?loc=goods_rank,"109,000원",3,탈부착 후드 야상 파카 네이비
체크덕다운후드숏패딩 KPD8N01_GN,1275955,https://store.musinsa.com/app/goods/1275955?loc=goods_rank,,47,SMALL 2 TONE ARCH HOODIE ZIP UP NAVY
울 덤블 허리 스트링 코트 AL4WTB72,1701008,https://store.musinsa.com/app/goods/1701008?loc=goods_rank,,2,HERITAGE HANDSOME DAN CABLE KNIT VEST NAVY
보아 플리스 후드집업 블랙,2259330,https://store.musinsa.com/app/goods/2259330?loc=goods_rank,,1,EVE SINGLE COAT- BLACK
컬러레이션 덕 다운 오버사이즈 패딩 KA [다크 그린],2151669,https://store.musinsa.com/app/goods/2151669?loc=goods_rank,,1,LOGO BLOCK LONG PARKA-NAVY
돌핀 패턴 가디건 스카이블루,1663894,https://store.musinsa.com/app/goods/1663894?loc=goods_rank,"101,700원",10,타이거 카모 코치 자켓_카모
N194MDW260 주피터 롱 구스 다운 점퍼 CARBON BLACK,1259194,https://store.musinsa.com/app/goods/1259194?loc=goods_rank,"196,800원",8,버핑레더 프랑스 F2 자켓_Black
BALL PADDING GREEN,2180165,https://store.musinsa.com/app/goods/2180165?loc=goods_rank,"126,000원",3,헤비 보아양털 레트로 자켓
0 4 타이 다이 베이비 엔젤 후드,2217837,https://store.musinsa.com/app/goods/2217837?loc=goods_rank,"89,800원",16,
PLUMERIA PATCHED FLEECE JACKET NAVY,1613684,https://store.musinsa.com/app/goods/1613684?loc=goods_rank,"134,400원",6,MA-1 친츠 코팅 레더 후드 자켓_Coating Black
에코 레더 자켓 [IVORY] / S21W01009,2179802,https://store.musinsa.com/app/goods/2179802?loc=goods_rank,"225,000원",6,
[SMART][RDS]배색퀼팅경량다운점퍼 MVDJ72A1,2184476,https://store.musinsa.com/app/goods/2184476?loc=goods_rank,,7,블랙 오버핏 미니멀 트러커
CORDURA® Zip Up Sweat Black,2165159,https://store.musinsa.com/app/goods/2165159?loc=goods_rank,"73,100원",3,V111 루즈핏 오버 해링본 블레이저 (베이지)
